run,real_s,user_s,sys_s,peak_kb,rc
1,0.400000,0.100000,0.020000,7808,0
2,0.450000,0.130000,0.010000,7808,0
3,0.410000,0.110000,0.010000,7808,0
4,0.400000,0.110000,0.010000,7936,0
5,0.400000,0.100000,0.020000,7808,0
6,0.400000,0.110000,0.010000,7936,0
7,0.390000,0.100000,0.010000,7808,0
8,0.380000,0.110000,0.010000,7808,0
9,0.410000,0.110000,0.010000,7808,0
10,0.390000,0.080000,0.040000,7808,0
