run,real_s,user_s,sys_s,peak_kb,rc
1,1.900000,1.480000,0.100000,35128,0
2,1.790000,1.430000,0.050000,35128,0
3,1.790000,1.450000,0.030000,35260,0
4,1.770000,1.430000,0.060000,35132,0
5,1.820000,1.510000,0.020000,35128,0
6,1.850000,1.450000,0.050000,35128,0
7,2.350000,1.940000,0.090000,35128,0
8,2.120000,1.690000,0.110000,35128,0
9,3.340000,2.780000,0.240000,35132,0
10,1.880000,1.530000,0.050000,35128,0
