run,real_s,user_s,sys_s,peak_kb,rc
1,0.440000,0.180000,0.020000,8472,0
2,0.460000,0.170000,0.030000,8476,0
3,0.520000,0.220000,0.010000,8476,0
4,0.500000,0.190000,0.020000,8220,0
5,0.470000,0.160000,0.020000,8532,0
6,0.440000,0.170000,0.030000,8220,0
7,0.480000,0.190000,0.020000,8472,0
8,0.500000,0.190000,0.040000,8348,0
9,0.420000,0.170000,0.010000,8476,0
10,0.470000,0.170000,0.020000,8216,0
