run,real_s,user_s,sys_s,peak_kb,rc
1,0.530000,0.200000,0.050000,34932,0
2,0.530000,0.210000,0.020000,34932,0
3,0.530000,0.220000,0.030000,34928,0
4,0.580000,0.230000,0.030000,34932,0
5,0.550000,0.230000,0.040000,34800,0
6,0.530000,0.210000,0.030000,34932,0
7,0.530000,0.200000,0.030000,34944,0
8,0.520000,0.190000,0.050000,34932,0
9,0.530000,0.190000,0.050000,34928,0
10,0.520000,0.210000,0.020000,34932,0
