metric,median,p25,p75
real_s,0.495000,0.482500,0.507500
user_s,0.195000,0.190000,0.200000
sys_s,0.020000,0.010000,0.020000
peak_kb,8448.000000,8352.000000,8448.000000
colors_used,152.500000,152.000000,154.500000
