metric,median,p25,p75
real_s,0.007500,0.007500,0.007500
user_s,0.049900,0.049900,0.049900
sys_s,0.003800,0.003800,0.003800
peak_kb,4268.000000,4268.000000,4268.000000
colors_used,16.000000,16.000000,16.000000
