metric,median,p25,p75
real_s,0.250000,0.250000,0.267500
user_s,0.200000,0.192500,0.200000
sys_s,0.040000,0.040000,0.047500
peak_kb,2274.000000,2272.000000,2276.000000
colors_used,31.000000,31.000000,32.750000
