metric,median,p25,p75
real_s,0.010300,0.010300,0.010300
user_s,0.001700,0.001700,0.001700
sys_s,0.001100,0.001100,0.001100
peak_kb,3328.000000,3328.000000,3328.000000
colors_used,2.000000,2.000000,2.000000
