metric,median,p25,p75
real_s,0.010000,0.010000,0.017500
user_s,0.000000,0.000000,0.000000
sys_s,0.000000,0.000000,0.000000
peak_kb,2116.000000,2116.000000,2120.000000
colors_used,3.000000,2.250000,3.000000
