metric,median,p25,p75
real_s,0.094850,0.094850,0.094850
user_s,0.080850,0.080850,0.080850
sys_s,0.012350,0.012350,0.012350
peak_kb,6320.000000,6320.000000,6320.000000
colors_used,213.000000,213.000000,213.000000
