metric,median,p25,p75
real_s,0.000000,0.000000,0.000000
user_s,0.000000,0.000000,0.000000
sys_s,0.000000,0.000000,0.000000
peak_kb,1686.000000,1684.000000,1688.000000
colors_used,13.000000,13.000000,13.000000
