metric,median,p25,p75
real_s,0.030000,0.030000,0.040000
user_s,0.000000,0.000000,0.007500
sys_s,0.000000,0.000000,0.000000
peak_kb,4096.000000,4096.000000,4224.000000
colors_used,18.000000,18.000000,18.000000
