metric,median,p25,p75
real_s,0.006067,0.006067,0.006067
user_s,0.004467,0.004467,0.004467
sys_s,0.001233,0.001233,0.001233
peak_kb,1704.000000,1704.000000,1704.000000
colors_used,26.000000,26.000000,26.000000
