metric,median,p25,p75
real_s,0.014600,0.014600,0.014600
user_s,0.002800,0.002800,0.002800
sys_s,0.001900,0.001900,0.001900
peak_kb,3456.000000,3456.000000,3456.000000
colors_used,18.000000,18.000000,18.000000
