metric,median,p25,p75
real_s,0.002933,0.002933,0.002933
user_s,0.001567,0.001567,0.001567
sys_s,0.001100,0.001100,0.001100
peak_kb,1620.000000,1620.000000,1620.000000
colors_used,15.000000,15.000000,15.000000
