metric,median,p25,p75
real_s,0.029600,0.029600,0.029600
user_s,0.123600,0.123600,0.123600
sys_s,0.006300,0.006300,0.006300
peak_kb,4224.000000,4224.000000,4224.000000
colors_used,65.000000,65.000000,65.000000
