run,real_s,user_s,sys_s,peak_kb,rc,colors_used
1,0.010000,0.000000,0.000000,3328,0,2
2,0.010000,0.000000,0.000000,3328,0,2
3,0.010000,0.000000,0.000000,3200,0,2
4,0.010000,0.000000,0.000000,3200,0,2
5,0.010000,0.000000,0.000000,3200,0,2
6,0.010000,0.000000,0.000000,3328,0,2
7,0.010000,0.000000,0.000000,3200,0,2
8,0.010000,0.000000,0.000000,3328,0,2
9,0.010000,0.000000,0.000000,3328,0,2
10,0.010000,0.000000,0.000000,3200,0,2
