metric,median,p25,p75
real_s,0.005550,0.005550,0.005550
user_s,0.027750,0.027750,0.027750
sys_s,0.003550,0.003550,0.003550
peak_kb,4216.000000,4216.000000,4216.000000
colors_used,8.000000,8.000000,8.000000
