metric,median,p25,p75
real_s,0.018500,0.018500,0.018500
user_s,0.170100,0.170100,0.170100
sys_s,0.005800,0.005800,0.005800
peak_kb,4396.000000,4396.000000,4396.000000
colors_used,55.000000,55.000000,55.000000
