metric,median,p25,p75
real_s,0.003900,0.003900,0.003900
user_s,0.006750,0.006750,0.006750
sys_s,0.003800,0.003800,0.003800
peak_kb,4196.000000,4196.000000,4196.000000
colors_used,3.000000,3.000000,3.000000
