run,real_s,user_s,sys_s,peak_kb,rc,colors_used
1,0.030000,0.000000,0.000000,3968,0,25
2,0.040000,0.000000,0.000000,3968,0,23
3,0.030000,0.000000,0.000000,3840,0,23
4,0.040000,0.000000,0.000000,3968,0,23
5,0.030000,0.010000,0.000000,3968,0,23
6,0.030000,0.000000,0.000000,3968,0,23
7,0.040000,0.000000,0.000000,3840,0,24
8,0.040000,0.000000,0.010000,3840,0,24
9,0.040000,0.000000,0.000000,3968,0,22
10,0.040000,0.010000,0.000000,3968,0,23
