metric,median,p25,p75
real_s,0.000000,0.000000,0.015000
user_s,0.000000,0.000000,0.000000
sys_s,0.000000,0.000000,0.000000
peak_kb,1616.000000,1616.000000,1616.000000
colors_used,2.000000,2.000000,2.000000
