run,real_s,user_s,sys_s,peak_kb,rc,colors_used
1,0.100000,0.070000,   0.020000,2160,0,15
2,0.090000,0.070000,   0.010000,2156,0,16
3,0.090000,0.070000,   0.010000,2160,0,15
4,0.100000,0.080000,   0.020000,2160,0,16
5,0.090000,0.060000,   0.020000,2156,0,16
6,0.080000,0.050000,   0.020000,2156,0,15
7,0.080000,0.060000,   0.010000,2156,0,15
8,0.100000,0.070000,   0.010000,2156,0,15
9,0.090000,0.060000,   0.020000,2156,0,15
10,0.090000,0.060000,   0.010000,2156,0,15
