metric,median,p25,p75
real_s,0.022900,0.022900,0.022900
user_s,0.070550,0.070550,0.070550
sys_s,0.004600,0.004600,0.004600
peak_kb,3968.000000,3968.000000,3968.000000
colors_used,23.000000,23.000000,23.000000
