metric,median,p25,p75
real_s,0.040000,0.040000,0.050000
user_s,0.005000,0.000000,0.010000
sys_s,0.000000,0.000000,0.000000
peak_kb,3712.000000,3584.000000,3712.000000
colors_used,54.000000,54.000000,54.000000
