metric,median,p25,p75
real_s,0.303450,0.303450,0.303450
user_s,1.063800,1.063800,1.063800
sys_s,0.019800,0.019800,0.019800
peak_kb,8448.000000,8448.000000,8448.000000
colors_used,157.000000,157.000000,157.000000
