run,real_s,user_s,sys_s,peak_kb,rc,colors_used
1,0.030000,0.000000,0.000000,3584,0,26
2,0.040000,0.000000,0.000000,3456,0,26
3,0.040000,0.010000,0.000000,3584,0,26
4,0.060000,0.010000,0.000000,3456,0,26
5,0.040000,0.000000,0.010000,3456,0,26
6,0.040000,0.000000,0.000000,3584,0,26
7,0.040000,0.010000,0.000000,3456,0,26
8,0.040000,0.000000,0.000000,3584,0,26
9,0.040000,0.000000,0.000000,3584,0,26
10,0.040000,0.010000,0.000000,3584,0,26
