metric,median,p25,p75
real_s,0.092550,0.092550,0.092550
user_s,0.526350,0.526350,0.526350
sys_s,0.020550,0.020550,0.020550
peak_kb,4096.000000,4096.000000,4096.000000
colors_used,65.000000,65.000000,65.000000
