metric,median,p25,p75
real_s,0.004000,0.004000,0.004000
user_s,0.007950,0.007950,0.007950
sys_s,0.003950,0.003950,0.003950
peak_kb,4200.000000,4200.000000,4200.000000
colors_used,2.000000,2.000000,2.000000
