run,real_s,user_s,sys_s,peak_kb,rc,colors_used
1,0.020000,0.000000,0.000000,3584,0,13
2,0.030000,0.000000,0.000000,3584,0,13
3,0.010000,0.000000,0.000000,3456,0,13
4,0.020000,0.000000,0.000000,3456,0,13
5,0.020000,0.000000,0.000000,3584,0,13
6,0.010000,0.000000,0.000000,3584,0,13
7,0.020000,0.000000,0.000000,3456,0,13
8,0.020000,0.000000,0.000000,3584,0,13
9,0.020000,0.000000,0.000000,3584,0,13
10,0.030000,0.000000,0.000000,3584,0,13
