metric,median,p25,p75
real_s,0.002467,0.002467,0.002467
user_s,0.001033,0.001033,0.001033
sys_s,0.001167,0.001167,0.001167
peak_kb,1584.000000,1584.000000,1584.000000
colors_used,7.000000,7.000000,7.000000
