metric,median,p25,p75
real_s,0.018400,0.018400,0.018400
user_s,0.171100,0.171100,0.171100
sys_s,0.004800,0.004800,0.004800
peak_kb,4396.000000,4396.000000,4396.000000
colors_used,54.000000,54.000000,54.000000
