metric,median,p25,p75
real_s,0.029900,0.029900,0.029900
user_s,0.090200,0.090200,0.090200
sys_s,0.005000,0.005000,0.005000
peak_kb,4224.000000,4224.000000,4224.000000
colors_used,23.000000,23.000000,23.000000
